district,total_schools,cep_schools,cep_percentage,cep_display
1,16,10,62.5,10/16 CEP schools
10,8,6,75.0,6/8 CEP schools
11,9,2,22.22222222222222,2/9 CEP schools
12,4,2,50.0,2/4 CEP schools
13,11,3,27.27272727272727,3/11 CEP schools
14,13,7,53.84615384615385,7/13 CEP schools
15,16,4,25.0,4/16 CEP schools
16,12,3,25.0,3/12 CEP schools
17,12,3,25.0,3/12 CEP schools
18,5,1,20.0,1/5 CEP schools
19,7,2,28.57142857142857,2/7 CEP schools
2,11,8,72.72727272727273,8/11 CEP schools
20,9,0,0.0,0/9 CEP schools
21,9,2,22.22222222222222,2/9 CEP schools
22,11,10,90.9090909090909,10/11 CEP schools
23,18,4,22.22222222222222,4/18 CEP schools
24,13,3,23.076923076923077,3/13 CEP schools
25,13,3,23.076923076923077,3/13 CEP schools
3,18,9,50.0,9/18 CEP schools
4,11,10,90.9090909090909,10/11 CEP schools
5,9,2,22.22222222222222,2/9 CEP schools
6,10,0,0.0,0/10 CEP schools
7,15,8,53.333333333333336,8/15 CEP schools
8,20,5,25.0,5/20 CEP schools
9,12,1,8.333333333333332,1/12 CEP schools
