District,Representative_Name,Party,Representative,Areas_Covered
1,Matthias Kusch,D,Matthias Kusch (D),"Hāmākua, portion of Hilo, Ka'ūmana"
2,Sue L. Keohokapu-Lee Loy,D,Sue L. Keohokapu-Lee Loy (D),Hilo
3,Chris Todd,D,Chris Todd (D),"Portion of Hilo, Keaukaha, Orchidlands Estate, Ainaloa, Hawaiian Acres, Fern Acres, portions of Kurtistown and Kea'au"
4,Greggor Ilagan,D,Greggor Ilagan (D),"Hawaiian Paradise Park, Hawaiian Beaches, Nānāwale Estates, Leilani Estates"
5,Jeanne Kapela,D,Jeanne Kapela (D),"Portions of Kea'au and Kurtistown, Mountain View, Glenwood, Fern Forest, Volcano, Pāhala, Punalu'u, Nā'ālehu, Wai'ōhinu, Hawaiian Ocean View, Ho'okena"
6,Kirstin Kahaloa,D,Kirstin Kahaloa (D),"Hōnaunau, Nāpo'opo'o, Captain Cook, Kealakekua, Keauhou, Hōlualoa, Kailua-Kona"
7,Nicole E. Lowen,D,Nicole E. Lowen (D),"Kailua-Kona, Honokōhau, Kalaoa, Pu'uanahulu, Puakō, portion of Waikōloa"
8,David A. Tarnas,D,David A. Tarnas (D),"Hawi, Hala'ula, Waimea, Makahalau, Waiki'i, Waikōloa, Kawaihae, and Māhukona"
9,Justin H. Woodson,D,Justin H. Woodson (D),"Kahului, Pu'unēnē, portion of Wailuku"
10,Tyson K. Miyake,D,Tyson K. Miyake (D),"Portion of Waiehu, Paukukalo, Wailuku, Wailuku Heights, Waikapu, Hyashi Village"
11,Terez Amato,D,Terez Amato (D),"Portion of Mā'alaea, Kīhei, Keawakapu, Wailea, Mākena, Kanahena, Keone'ō'io"
12,Kyle T. Yamashita,D,Kyle T. Yamashita (D),"Portion of Keāhua, Hāli'imaile, Pukalani, Makawao, Pūlehu, Waiakoa, Kēōkea, and 'Ulupalakua"
13,Mahina M. Poepoe,D,Mahina M. Poepoe (D),"Molokai', Lāna'i, Kaho'olawe, portion of Kahului, Ha'ikū, Pe'ahi, Huelo, Nāhiku, Hāna, Kīpahulu"
14,Elle Cochran,D,Elle Cochran (D),"Kahakuloa, Waihe'e, portions of Wai'ehu and Mā'alaea, Olowalu, Lahaina, Lahainaluna, Kā'anapali, Māhinahina Camp, Kahana, Honokahua"
15,Nadine K. Nakamura,D,Nadine K. Nakamura (D),"Hā'ena, Wainiha, Hanalei, Princeville, Kīlauea, Anahola, Keālia, Kāpa'a, portion of Wailuā, Kawaihau"
16,Luke A. Evslin,D,Luke A. Evslin (D),"Wailuā, Hanamā'ulu, Kapaia, Līhu'e, Puhi, portion of 'Ōma'o"
17,Dee Morikawa,D,Dee Morikawa (D),"Ni'ihau, portion of 'Ōma'o, Kōloa, Po'ipū, Lāwa'i, Kalāheo, 'Ele'ele, Hanapēpē, Kaawanui Village, Pākalā Village, Waimea, Kekaha"
18,Joe Gedeon,R,Joe Gedeon (R),"Portlock, Hawaiʻi Kai, Kalama Valley"
19,Mark J. Hashem,D,Mark J. Hashem (D),"Wai'alae-Kāhala, 'Āina Haina, Niu Valley, Kuli'ou'ou"
20,Tina Nakada Grandinetti,D,Tina Nakada Grandinetti (D),"Kāhala, Ka'alāwai, Wai'alae, Kaimukī, Kapahulu"
21,Jackson Sayama,D,Jackson Sayama (D),"Wilhelmina Rise, Maunalani Heights, St. Louis Heights"
22,Andrew Takuya Garrett,D,Andrew Takuya Garrett (D),Mānoa
23,Ikaika Olds,D,Ikaika Olds (D),"Mō'ili'ili, McCully"
24,Adrian K. Tam,D,Adrian K. Tam (D),Waikīkī
25,Kim Coco Iwamoto,D,Kim Coco Iwamoto (D),"Ala Moana, Kaka'ako, Downtown"
26,Della Au Belatti,D,Della Au Belatti (D),"Makiki, Punchbowl"
27,Jenna Takenouchi,D,Jenna Takenouchi (D),"Pacific Heights, Nu'uanu, Liliha"
28,Daniel Holt,D,Daniel Holt (D),"Sand Island, Iwilei, Chinatown"
29,Ikaika Hussey,D,Ikaika Hussey (D),"Kamehameha Heights, Kalihi Valley, portion of Kalihi"
30,Shirley Ann Templo,D,Shirley Ann Templo (D),"Kalihi, Kalihi Kai, Ke'ehi Lagoon, Hickam Village"
31,Linda Ichiyama,D,Linda Ichiyama (D),"Fort Shafter Flats, Salt Lake, Pearl Harbor"
32,Garner M. Shimizu,R,Garner M. Shimizu (R),"Fort Shafter, Moanalua, Āliamanu, Foster Village, portions of 'Aiea and Hālawa"
33,Sam Satoru Kong,D,Sam Satoru Kong (D),"Portion of Hālawa, 'Aiea, Waimalu"
34,Gregg Takayama,D,Gregg Takayama (D),"Waiau, a portion of Pearl City, and Pacific Palisades"
35,Cory M. Chun,D,Cory M. Chun (D),"Portions of Pearl City and Waipahū, Crestview"
36,Rachelle F. Lamosao,D,Rachelle F. Lamosao (D),Waipahū
37,Trish La Chica,D,Trish La Chica (D),Portions of Waipi'o and Mililani
38,Lauren Cheape Matsumoto,R,Lauren Cheape Matsumoto (R),"Portions of Mililani and Waipio Acres, Mililani Mauka"
39,Elijah Pierick,R,Elijah Pierick (R),"Royal Kunia, portion of Waipahu, Honouliuli, portion of Lower Village"
40,Julie Reyes Oda,R,Julie Reyes Oda (R),"Portions of Lower Village and 'Ewa Beach, Iroquois Point"
41,David Alcos III,R,David Alcos III (R),"Portion of 'Ewa Beach, Ocean Pointe, Barbers Point"
42,Diamond Garcia,R,Diamond Garcia (R),"Portions of Varona Village, Ewa, and Kapolei, Fernandez Village"
43,Kanani Souza,R,Kanani Souza (R),"Kapolei, Makakilo"
44,Darius K. Kila,D,Darius K. Kila (D),"Honokai Hale, Nānākuli, Mā'ili"
45,Christopher L. Muraoka,R,Christopher L. Muraoka (R),"Wai'anae, Mākaha"
46,Amy A. Perruso,D,Amy A. Perruso (D),"Portion of Waipio Acres, Wahiawa, Whitmore Village, Mokuleia"
47,Sean Quinlan,D,Sean Quinlan (D),"Waialua, Hale'iwa, Kawailoa Beach, Waimea, Sunset Beach, Waiale'e, Kawela Bay, Kahuku, Lā'ie, Hau'ula, Punalu'u, Kahana"
48,Lisa Kitagawa,D,Lisa Kitagawa (D),"Ka'a'awa, Kahalu'u, 'Āhuimanu, He'eia, Kāne'ohe"
49,Scot Z. Matayoshi,D,Scot Z. Matayoshi (D),"Portion of Kāne'ohe, Pūʻōhala Village, Maunawili"
50,Mike Lee,D,Mike Lee (D),"Kailua, portion of Kāne'ohe Bay"
51,Lisa Marten,D,Lisa Marten (D),"Waimānalo, Keolu Hills, Lanikai, portion of Kailua"
