geoid,name,below_poverty,total_population,median_income,edu_hs_diploma,edu_ged,edu_some_college_lt1,edu_some_college_1plus,edu_associates,bachelors_plus,edu_masters,edu_professional,edu_doctorate,pop_25_plus,renter_occupied,total_housing_units,b25070_007e,b25070_008e,b25070_009e,b25070_010e,b25070_001e,median_rent,b25077_001e,aggregate_vehicles,total_resident_population,aggregate_travel_time,b08303_001e,b08303_008e,b08303_009e,b08303_010e,b08303_011e,b08303_012e,b08303_013e,public_transit_workers,total_workers,bicycle_workers,walked_workers,wfh_workers,veh_hh_total,veh_hh_0,veh_hh_1,veh_hh_2,veh_hh_3,veh_hh_4plus,b23025_003e,b23025_005e,state,sldlst,NAME,race_total_pop,white_aoic,black_aoic,asian_aoic,nhpi_aoic,hispanic_universe,hispanic_total,occupancy_universe,vacant_units,b17001_002m,b17001_001m,median_income_moe,b15003_017m,b15003_018m,b15003_019m,b15003_020m,b15003_021m,b15003_022m,b15003_023m,b15003_024m,b15003_025m,b15003_001m,b25003_003m,b25003_001m,b25070_007m,b25070_008m,b25070_009m,b25070_010m,b25070_001m,b25064_001m,b25077_001m,b25046_001m,b01003_001m,b08013_001m,b08303_001m,b08303_008m,b08303_009m,b08303_010m,b08303_011m,b08303_012m,b08303_013m,b08301_010m,b08301_001m,b08301_018m,b08301_019m,b08301_021m,b08201_001m,b08201_002m,b08201_003m,b08201_004m,b08201_005m,b08201_006m,b23025_003m,b23025_005m,b02001_001m,b02008_001m,b02009_001m,b02011_001m,b02012_001m,b03002_001m,b03002_012m,b25002_001m,b25002_003m,poverty_rate,bachelors_rate,college_educated_pct,hs_or_higher,high_school_or_higher_pct,white_pct,black_pct,asian_pct,nhpi_pct,hispanic_pct,vacancy_rate,renter_rate,rent_burden_households,rent_burden_rate,severe_rent_burden_rate,median_home_value,unemployment_rate,public_transportation_pct,travel_time_to_work_minutes,avg_vehicles_per_household,vehicles_per_capita,zero_vehicle_household_pct,active_transportation_pct,work_from_home_pct,median_rent_moe,median_home_value_moe,poverty_rate_moe,unemployment_rate_moe,renter_rate_moe,severe_rent_burden_rate_moe,rent_burden_rate_moe,vacancy_rate_moe,public_transportation_pct_moe,zero_vehicle_household_pct_moe,work_from_home_pct_moe,active_transportation_pct_moe,college_educated_pct_moe,high_school_or_higher_pct_moe,white_pct_moe,black_pct_moe,asian_pct_moe,nhpi_pct_moe,hispanic_pct_moe,avg_vehicles_per_household_moe,vehicles_per_capita_moe,travel_time_to_work_minutes_moe
15001,State House District 1 (2024); Hawaii,3200,25548,85122,4799,429,1123,2355,2315,3906,1308,573,369,18438,2081,8619,144,134,92,485,2081,1452,529200,18078,26368,275015,10116,907,143,211,899,685,464,108,11415,44,121,1299,8619,560,2358,3121,1498,1082,12413,765,15,001,State House District 1 (2024); Hawaii,26368,14468,681,14072,9761,26368,2801,9945,1326,721,1549,8291,549,119,275,365,271,484,256,177,120,965,326,436,69,68,49,199,326,114,43439,1175,1633,29167,933,215,73,85,241,189,125,59,996,44,66,346,436,172,349,321,259,175,1056,228,1633,1169,230,1249,1016,1633,644,487,209,12.53,21.18,21.18,17177,93.16,54.87,2.58,53.37,37.02,10.62,13.33,24.14,855,41.09,23.31,529200,6.16,0.95,27.19,2.1,0.69,6.5,1.45,11.38,114,43439,2.72,1.76,3.58,8.84,8.79,2.0,0.51,1.97,2.86,0.68,2.38,1.99,2.85,0.86,3.39,3.1,2.35,0.17,0.06,3.82
15002,State House District 2 (2024); Hawaii,4060,26717,78260,4854,475,999,2347,2860,4729,1340,647,510,19803,3738,10109,544,208,192,994,3738,1349,520900,19170,27568,245115,11539,516,49,73,331,237,657,191,12257,94,383,718,10109,958,3172,3261,1732,986,13486,977,15,002,State House District 2 (2024); Hawaii,27568,10142,436,19063,8961,27568,3360,11023,914,898,1516,10754,564,184,248,429,437,580,244,184,193,1035,498,551,204,133,114,342,498,97,31011,1281,1593,28250,892,191,43,87,192,135,222,118,880,81,154,193,551,321,357,345,282,213,978,374,1593,1237,243,1335,1392,1593,648,620,300,15.2,23.88,23.88,18761,94.74,36.79,1.58,69.15,32.51,12.19,8.29,36.98,1938,51.85,26.59,520900,7.24,1.56,21.24,1.9,0.7,9.48,3.89,5.86,97,31011,3.25,2.72,4.5,8.44,9.37,2.68,0.96,3.13,1.52,1.39,2.65,2.74,3.95,0.88,2.74,4.69,2.24,0.16,0.06,2.95
15003,State House District 3 (2024); Hawaii,4563,26749,73277,5802,921,1053,2713,3019,2764,1064,288,266,19425,2235,9772,155,62,66,602,2235,1420,349400,19703,26922,266360,10076,1791,122,591,785,459,370,80,11244,27,170,1168,9772,549,2919,3609,1646,1049,12406,810,15,003,State House District 3 (2024); Hawaii,26922,14392,606,12311,12433,26922,3429,10777,1005,905,2122,6191,570,261,247,502,501,492,244,152,103,1299,368,520,91,50,49,229,368,128,19693,1608,2135,38360,1093,414,118,299,313,281,139,92,1110,21,89,319,520,171,363,489,276,287,1123,299,2135,1541,316,1586,1444,2135,852,499,266,17.06,14.23,14.23,17890,92.1,53.46,2.25,45.73,46.18,12.74,9.33,22.87,885,39.6,26.94,349400,6.53,0.71,26.44,2.02,0.73,5.62,1.75,10.39,128,19693,3.1,2.34,3.56,9.24,9.43,2.43,0.82,1.72,2.65,0.79,2.35,8.5,3.85,1.16,4.64,3.92,3.0,0.2,0.08,4.77
15004,State House District 4 (2024); Hawaii,5578,23916,57007,5448,560,1736,2632,1840,2587,1476,84,235,17673,2259,9462,110,248,144,609,2259,1271,369500,17737,24022,241645,7129,1607,643,501,736,484,482,55,8513,0,112,1384,9462,465,3397,3686,1100,814,9165,492,15,004,State House District 4 (2024); Hawaii,24022,15217,902,8476,8292,24022,3507,10693,1231,1142,1952,10922,1030,248,455,473,511,484,377,60,145,1285,533,602,93,211,96,202,533,171,19602,1696,1972,50596,1137,596,299,233,320,273,301,41,1137,22,70,493,602,198,441,571,349,338,1236,205,1972,1566,333,1401,1687,1972,755,525,337,23.32,14.64,14.64,16598,93.92,63.35,3.75,35.28,34.52,14.6,11.51,23.87,1111,49.18,26.96,369500,5.37,0.65,33.9,1.87,0.74,4.91,1.32,16.26,171,19602,4.38,2.12,5.42,6.28,8.22,3.1,0.47,2.07,5.37,0.84,2.52,4.93,3.93,1.35,5.06,6.43,2.91,0.22,0.09,8.92
15005,State House District 5 (2024); Hawaii,4260,24476,63656,5111,937,1009,3169,1735,2713,1317,345,195,18273,1831,9359,185,34,66,363,1831,1509,373700,18593,24929,329755,7578,1251,240,244,1156,1463,851,36,9039,0,325,1461,9359,232,3139,3826,1317,845,10182,898,15,005,State House District 5 (2024); Hawaii,24929,15296,936,11070,9708,24929,3904,11626,2267,1156,1709,6115,648,276,277,528,363,498,342,151,99,1217,295,554,86,41,46,165,295,394,14921,1444,1696,47882,915,312,103,97,380,331,313,23,1010,22,166,424,554,118,406,431,259,202,1080,258,1696,1481,295,1352,1470,1696,903,576,391,17.4,14.85,14.85,16531,90.47,61.36,3.75,44.41,38.94,15.66,19.5,19.56,648,35.39,19.83,373700,8.82,0.4,43.51,1.99,0.75,2.48,3.6,16.16,394,14921,4.56,2.35,2.93,8.43,9.06,3.22,0.25,1.25,4.33,1.81,2.54,2.25,4.23,1.16,4.5,5.27,3.46,0.19,0.08,8.22
15006,State House District 6 (2024); Hawaii,2092,26333,92181,3547,547,1282,2744,1980,4847,2337,1088,242,20252,2327,9653,149,159,222,472,2327,1786,780400,19451,26595,233165,9993,1640,530,380,463,333,207,4,11690,71,258,1697,9653,241,3336,3643,1400,1033,12635,406,15,006,State House District 6 (2024); Hawaii,26595,18434,403,8621,4592,26595,2375,13706,4053,419,1887,5607,577,177,245,600,318,723,391,256,105,1400,365,681,83,118,118,162,365,132,54036,1454,1879,27183,927,596,277,135,166,131,103,18,1059,94,131,465,681,97,469,532,287,237,1078,137,1879,1379,154,1241,880,1879,594,569,531,7.94,23.93,23.93,18614,91.91,69.31,1.52,32.42,17.27,8.93,29.57,24.11,1002,43.06,20.28,780400,3.21,0.03,23.33,2.02,0.73,2.5,2.81,14.52,132,54036,1.49,1.05,3.38,6.19,8.19,3.67,0.15,0.99,3.75,1.36,3.16,8.96,1.7,0.57,4.07,3.08,2.14,0.21,0.08,3.48
15007,State House District 7 (2024); Hawaii,4073,24762,98570,4741,731,1167,3047,1799,3642,1107,405,203,17933,2760,8243,295,92,166,553,2760,1572,767100,17013,24857,208725,9910,991,74,247,705,144,173,98,11199,27,189,1289,8243,483,2665,2849,1023,1223,12185,627,15,007,State House District 7 (2024); Hawaii,24857,13528,454,7787,9050,24857,1989,12396,4153,881,1843,7912,622,220,272,430,479,573,214,136,95,1156,415,528,160,54,86,192,415,111,56387,1370,1844,22333,890,261,56,93,218,96,120,89,975,26,100,352,528,165,383,405,221,294,1063,245,1844,1175,165,1187,1373,1844,575,507,384,16.45,20.31,20.31,16842,93.92,54.42,1.83,31.33,36.41,8.0,33.5,33.48,1106,40.07,20.04,767100,5.15,0.88,21.06,2.06,0.68,5.86,1.93,11.51,111,56387,3.34,1.96,4.55,6.27,7.7,2.78,0.79,1.97,2.98,0.91,2.91,2.13,2.46,0.65,4.17,4.82,2.24,0.21,0.07,2.94
15008,State House District 8 (2024); Hawaii,2505,24459,93638,4779,437,682,2507,2147,3370,1903,741,400,17781,2046,8855,287,119,161,425,2046,1930,731500,19035,24508,283240,9591,1223,347,615,1548,735,187,18,11035,10,43,1444,8855,79,2586,3449,1849,892,11977,693,15,008,State House District 8 (2024); Hawaii,24508,14985,455,10231,9882,24508,2638,10569,1714,773,1732,7780,634,161,193,441,414,439,384,302,166,1080,436,545,180,85,105,185,436,217,38549,1350,1743,30639,916,316,130,201,317,190,95,41,972,11,58,384,545,56,400,556,323,228,1108,301,1743,1449,274,1188,1280,1743,621,571,317,10.24,18.95,18.95,16966,95.42,61.14,1.86,41.75,40.32,10.76,16.22,23.11,992,48.48,20.77,731500,5.79,0.16,29.53,2.15,0.78,0.89,0.48,13.09,217,38549,3.08,2.46,4.71,7.88,9.8,2.87,0.37,0.63,3.28,0.53,2.18,2.69,4.01,1.11,3.83,4.37,2.42,0.2,0.08,4.26
15009,State House District 9 (2024); Hawaii,2343,26962,97326,6043,722,1625,2715,2138,3966,615,331,161,20555,2931,8287,330,149,116,659,2931,1491,864400,18217,28057,293430,12854,1734,200,282,1526,495,167,432,13532,45,150,678,8287,593,2106,2879,1476,1233,14429,507,15,009,State House District 9 (2024); Hawaii,28057,7534,477,20951,6671,28057,2056,8836,549,601,1976,13715,838,198,352,452,464,729,199,154,121,1392,369,466,142,113,67,226,369,155,26559,1579,1979,39953,1258,400,113,152,532,237,125,263,1294,48,85,261,466,183,259,414,347,260,1336,240,1979,1140,265,1790,1161,1979,500,493,192,8.69,19.29,19.29,18316,89.11,26.85,1.7,74.67,23.78,7.33,6.21,35.37,1254,42.78,22.48,864400,3.51,3.19,22.83,2.2,0.65,7.16,1.44,5.01,155,26559,2.14,1.63,3.98,7.17,8.6,2.15,1.92,2.17,1.87,0.71,3.3,2.9,3.59,0.94,3.6,3.78,1.71,0.23,0.07,3.83
15010,State House District 10 (2024); Hawaii,1412,27410,107885,5235,487,1272,2841,1836,4058,1349,542,180,18902,2363,9210,209,155,243,692,2363,1803,845100,18581,27549,268060,12782,1593,184,292,950,415,188,24,13617,28,159,835,9210,667,2497,3466,1619,961,14213,398,15,010,State House District 10 (2024); Hawaii,27549,11312,1118,16821,9028,27549,2369,10110,900,317,1822,10047,535,148,257,431,356,527,239,166,99,1080,372,512,104,86,130,221,372,144,21905,1185,1828,27328,917,363,98,123,249,165,99,27,920,35,88,222,512,214,424,421,301,179,972,192,1828,1278,306,1626,1314,1828,526,487,267,5.15,21.47,21.47,17800,94.17,41.06,4.06,61.06,32.77,8.6,8.9,25.66,1299,54.97,29.28,845100,2.8,0.18,20.97,2.02,0.67,7.24,1.37,6.13,144,21905,1.1,1.34,3.78,8.14,8.69,2.61,0.2,2.29,1.58,0.69,2.5,0.83,3.75,1.08,4.29,4.25,1.82,0.17,0.06,2.61
