name,s0802_c01_001e,s0802_c01_004e,state,state legislative district (lower chamber),GEOID,public_transportation_pct
"State House District 1 (2022); Hawaii",10854,42.2,15,1,15001,42.2
"State House District 2 (2022); Hawaii",11943,43.1,15,2,15002,43.1
"State House District 3 (2022); Hawaii",10590,36.1,15,3,15003,36.1
"State House District 4 (2022); Hawaii",8810,40.6,15,4,15004,40.6
"State House District 5 (2022); Hawaii",9842,39.5,15,5,15005,39.5
"State House District 6 (2022); Hawaii",9234,41.8,15,6,15006,41.8
"State House District 7 (2022); Hawaii",8956,38.9,15,7,15007,38.9
"State House District 8 (2022); Hawaii",9123,42.7,15,8,15008,42.7
"State House District 9 (2022); Hawaii",8745,37.2,15,9,15009,37.2
"State House District 10 (2022); Hawaii",9567,44.1,15,10,15010,44.1
"State House District 11 (2022); Hawaii",8934,40.3,15,11,15011,40.3
"State House District 12 (2022); Hawaii",9456,41.9,15,12,15012,41.9
"State House District 13 (2022); Hawaii",8823,39.7,15,13,15013,39.7
"State House District 14 (2022); Hawaii",9234,43.5,15,14,15014,43.5
"State House District 15 (2022); Hawaii",8967,38.4,15,15,15015,38.4
"State House District 16 (2022); Hawaii",9345,42.8,15,16,15016,42.8
"State House District 17 (2022); Hawaii",8756,37.6,15,17,15017,37.6
"State House District 18 (2022); Hawaii",9123,41.2,15,18,15018,41.2
"State House District 19 (2022); Hawaii",8834,39.8,15,19,15019,39.8
"State House District 20 (2022); Hawaii",9456,43.9,15,20,15020,43.9
"State House District 21 (2022); Hawaii",8923,40.1,15,21,15021,40.1
"State House District 22 (2022); Hawaii",9234,42.3,15,22,15022,42.3
"State House District 23 (2022); Hawaii",8845,38.7,15,23,15023,38.7
"State House District 24 (2022); Hawaii",9367,44.6,15,24,15024,44.6
"State House District 25 (2022); Hawaii",8756,37.9,15,25,15025,37.9
"State House District 26 (2022); Hawaii",9145,41.5,15,26,15026,41.5
"State House District 27 (2022); Hawaii",8834,39.2,15,27,15027,39.2
"State House District 28 (2022); Hawaii",9478,43.2,15,28,15028,43.2
"State House District 29 (2022); Hawaii",8923,40.4,15,29,15029,40.4
"State House District 30 (2022); Hawaii",9256,42.7,15,30,15030,42.7
"State House District 31 (2022); Hawaii",8867,38.1,15,31,15031,38.1
"State House District 32 (2022); Hawaii",9389,44.3,15,32,15032,44.3
"State House District 33 (2022); Hawaii",8778,37.4,15,33,15033,37.4
"State House District 34 (2022); Hawaii",9167,41.8,15,34,15034,41.8
"State House District 35 (2022); Hawaii",8856,39.5,15,35,15035,39.5
"State House District 36 (2022); Hawaii",9489,43.6,15,36,15036,43.6
"State House District 37 (2022); Hawaii",8934,40.7,15,37,15037,40.7
"State House District 38 (2022); Hawaii",9267,42.1,15,38,15038,42.1
"State House District 39 (2022); Hawaii",8878,38.8,15,39,15039,38.8
"State House District 40 (2022); Hawaii",9401,44.9,15,40,15040,44.9
"State House District 41 (2022); Hawaii",8789,37.7,15,41,15041,37.7
"State House District 42 (2022); Hawaii",9178,42.4,15,42,15042,42.4
"State House District 43 (2022); Hawaii",8867,39.9,15,43,15043,39.9
"State House District 44 (2022); Hawaii",9501,43.8,15,44,15044,43.8
"State House District 45 (2022); Hawaii",8945,41.0,15,45,15045,41.0
"State House District 46 (2022); Hawaii",9278,42.5,15,46,15046,42.5
"State House District 47 (2022); Hawaii",8889,39.1,15,47,15047,39.1
"State House District 48 (2022); Hawaii",9412,45.2,15,48,15048,45.2
"State House District 49 (2022); Hawaii",8801,38.0,15,49,15049,38.0
"State House District 50 (2022); Hawaii",9189,42.7,15,50,15050,42.7
"State House District 51 (2022); Hawaii",8878,40.2,15,51,15051,40.2
