District,Senator_Name,Party,Areas_Covered
1,Lorraine R. Inouye,D,"Hilo, Pauka'a, Papaikou, Pepe'ekeo"
2,Joy A. San Buenaventura,D,Puna
3,Dru Mamo Kanuha,D,"Kona, Ka'ū, Volcano"
4,Herbert M. 'Tim' Richards III,D,"North Hilo, Hāmākua, Kohala, Waimea, Waikoloa, North Kona"
5,Troy N. Hashimoto,D,"Wailuku, Kahului, Waihe'e, Waikapu Mauka, Wai'ehu"
6,Angus L.K. McKelvey,D,"West Maui, South Maui, Moloka'i, Lāna'i, Kaho'olawe"
7,Lynn DeCoite,D,"East Maui, Moloka'i, Lāna'i, Kaho'olawe"
8,Ronald D. Kouchi,D,"Kaua'i, Ni'ihau"
9,Stanley Chang,D,"Hawai'i Kai, Waikīkī, Ala Moana, Kaka'ako"
10,Les Ihara,D,"Pālolo, St. Louis Heights, Kaimukī, Kāhala"
11,Carol Fukunaga,D,"Makiki, Mānoa, Pūowaina, Ala Wai"
12,Sharon Y. Moriwaki,D,"Waikīkī, McCully, Mōʻiliʻili, Ala Wai"
13,Karl Rhoads,D,"Downtown, Iwilei, Kalihi, Nu'uanu"
14,Donna Mercado Kim,D,"Kalihi Valley, Liliha, 'Ālewa Heights, Pu'unui"
15,Glenn Wakai,D,"Kalihi, Mapunapuna, Airport, Salt Lake, Āliamanu"
16,Brandon J.C. Elefante,D,"'Aiea, Hālawa, Pearlridge, 'Aiea Heights"
17,Donovan M. Dela Cruz,D,"Wahiawā, Mililani, Mililani Mauka, Waipi'o Acres, Whitmore Village"
18,Michelle N. Kidani,D,"Mililani Town, Waipi'o Gentry, Crestview, Waikele"
19,Rachelle Lamosao,D,"Waipahu, Crestview, Village Park, Waikele"
20,Kurt Fevella,R,"Ewa Beach, Ocean Pointe, Ewa by Gentry, Iroquois Point"
21,Mike Gabbard,D,"Kapolei, Makakilo, Kalaeloa, Honokai Hale, Ko Olina"
22,Samantha DeCorte,R,"Kapolei, 'Ewa Beach, Ocean Pointe, 'Ewa by Gentry"
23,Brenton Awa,R,"Ko'olauloa, Ko'olaupoko, Kahuku, La'ie, Hau'ula, Punalu'u"
24,Jarrett Keohokalole,D,"Kāne'ohe, Kailua, He'eia, Ahuimanu"
25,Chris Lee,D,"Kailua, Lanikai, Waimānalo, Hawai'i Kai"
