geoid,name,below_poverty,total_population,median_income,edu_hs_diploma,edu_ged,edu_some_college_lt1,edu_some_college_1plus,edu_associates,bachelors_plus,edu_masters,edu_professional,edu_doctorate,pop_25_plus,renter_occupied,total_housing_units,b25070_007e,b25070_008e,b25070_009e,b25070_010e,b25070_001e,median_rent,b25077_001e,aggregate_vehicles,total_resident_population,aggregate_travel_time,b08303_001e,b08303_008e,b08303_009e,b08303_010e,b08303_011e,b08303_012e,b08303_013e,public_transit_workers,total_workers,bicycle_workers,walked_workers,wfh_workers,veh_hh_total,veh_hh_0,veh_hh_1,veh_hh_2,veh_hh_3,veh_hh_4plus,b23025_003e,b23025_005e,state,sldust,NAME,race_total_pop,white_aoic,black_aoic,asian_aoic,nhpi_aoic,hispanic_universe,hispanic_total,occupancy_universe,vacant_units,b17001_002m,b17001_001m,median_income_moe,b15003_017m,b15003_018m,b15003_019m,b15003_020m,b15003_021m,b15003_022m,b15003_023m,b15003_024m,b15003_025m,b15003_001m,b25003_003m,b25003_001m,b25070_007m,b25070_008m,b25070_009m,b25070_010m,b25070_001m,b25064_001m,b25077_001m,b25046_001m,b01003_001m,b08013_001m,b08303_001m,b08303_008m,b08303_009m,b08303_010m,b08303_011m,b08303_012m,b08303_013m,b08301_010m,b08301_001m,b08301_018m,b08301_019m,b08301_021m,b08201_001m,b08201_002m,b08201_003m,b08201_004m,b08201_005m,b08201_006m,b23025_003m,b23025_005m,b02001_001m,b02008_001m,b02009_001m,b02011_001m,b02012_001m,b03002_001m,b03002_012m,b25002_001m,b25002_003m,poverty_rate,bachelors_rate,college_educated_pct,hs_or_higher,high_school_or_higher_pct,white_pct,black_pct,asian_pct,nhpi_pct,hispanic_pct,vacancy_rate,renter_rate,rent_burden_households,rent_burden_rate,severe_rent_burden_rate,median_home_value,unemployment_rate,public_transportation_pct,travel_time_to_work_minutes,avg_vehicles_per_household,vehicles_per_capita,zero_vehicle_household_pct,active_transportation_pct,work_from_home_pct,median_rent_moe,median_home_value_moe,poverty_rate_moe,unemployment_rate_moe,renter_rate_moe,severe_rent_burden_rate_moe,rent_burden_rate_moe,vacancy_rate_moe,public_transportation_pct_moe,zero_vehicle_household_pct_moe,work_from_home_pct_moe,active_transportation_pct_moe,college_educated_pct_moe,high_school_or_higher_pct_moe,white_pct_moe,black_pct_moe,asian_pct_moe,nhpi_pct_moe,hispanic_pct_moe,avg_vehicles_per_household_moe,vehicles_per_capita_moe,travel_time_to_work_minutes_moe
15001,State Senate District 1 (2024); Hawaii,8059,55680,80487,10465,1101,2251,4901,5847,8622,2799,1334,1044,40989,6597,19872,708,309,288,1667,6597,1409,489400,38929,57636,492630,23066,1271,172,360,704,543,1132,237,25402,156,607,2336,19872,1706,6180,6412,3385,2189,27841,1817,15,001,State Senate District 1 (2024); Hawaii,57636,24775,1281,34805,22769,57636,6150,21795,1923,1260,2153,6559,690,223,323,617,557,669,410,273,271,1392,600,688,227,156,123,421,600,86,13393,1819,2254,38561,1361,286,84,216,247,201,246,111,1334,93,181,479,688,350,525,519,424,284,1485,468,2254,1724,388,1915,1757,2254,879,671,350,14.47,21.03,21.03,38364,93.6,42.99,2.22,60.39,39.5,10.67,8.82,33.2,2972,45.05,25.27,489400,6.53,0.93,21.36,1.96,0.68,8.58,3.0,9.2,86,13393,2.19,1.64,2.79,5.95,6.7,1.58,0.43,1.74,1.82,0.79,1.47,1.52,2.47,0.67,2.34,2.63,1.47,0.11,0.04,2.09
15002,State Senate District 2 (2024); Hawaii,10383,48687,63622,10792,1520,2735,5229,4261,5351,2395,249,401,35570,3981,18907,368,305,177,1093,3981,1291,348900,36693,48812,544510,15921,4062,824,1041,1934,1141,914,135,18355,0,286,2434,18907,824,6333,7386,2664,1700,19967,1226,15,002,State Senate District 2 (2024); Hawaii,48812,30578,1537,19686,18213,48812,7623,21267,2360,1421,2403,5910,1160,378,550,624,639,625,468,113,159,1560,655,730,145,223,96,285,655,111,14190,2181,2414,59197,1436,720,307,332,467,380,326,90,1358,25,104,596,730,238,607,750,451,454,1496,354,2414,2004,510,1941,2299,2414,1065,630,409,21.33,15.04,15.04,32933,92.59,62.64,3.15,40.33,37.31,15.62,11.1,21.06,1943,48.81,27.46,348900,6.14,0.74,34.2,1.94,0.75,4.36,1.56,13.26,111,14190,2.72,1.71,3.37,5.55,6.1,1.89,0.49,1.25,3.1,0.57,1.63,3.01,2.69,1.03,3.44,4.33,2.04,0.14,0.06,4.83
15003,State Senate District 3 (2024); Hawaii,6996,52036,80199,8979,1370,2387,5907,3795,7616,3497,1396,415,38665,4956,18521,361,177,393,886,4956,1709,618800,36749,52607,525225,18603,2451,698,548,1465,1622,873,78,21615,79,533,3012,18521,588,6574,6929,2490,1940,23913,1323,15,003,State Senate District 3 (2024); Hawaii,52607,32439,1089,18766,15174,52607,5975,24841,6320,1184,2741,3836,1004,323,344,834,505,830,514,302,143,1847,523,874,136,121,164,216,523,86,31482,1953,2729,48194,1188,591,295,143,382,371,307,56,1261,95,185,599,874,145,660,609,376,310,1300,293,2729,2046,327,1756,1914,2729,901,705,642,13.44,19.7,19.7,35362,91.46,61.66,2.07,35.67,28.84,11.36,25.44,26.76,1817,36.66,17.88,618800,5.53,0.36,28.23,1.98,0.7,3.17,2.83,13.93,86,31482,2.16,1.19,2.53,3.93,5.34,2.48,0.26,0.77,2.65,0.95,1.93,1.62,2.21,0.61,2.78,3.32,1.61,0.14,0.05,3.16
15004,State Senate District 4 (2024); Hawaii,4893,46557,96992,8845,1046,1678,5477,3792,6969,3161,1192,560,34354,3743,16772,432,265,251,857,3743,1758,743500,36409,46714,520660,18342,2142,454,913,2520,1234,472,140,21020,38,175,2678,16772,449,4485,6717,3026,2095,22728,1302,15,004,State Senate District 4 (2024); Hawaii,46714,28670,966,18374,16523,46714,4255,22832,6060,1099,2088,6024,863,236,330,600,468,660,385,340,188,1290,503,693,206,113,120,255,503,108,36225,1801,2092,34066,1209,336,138,228,370,245,155,92,1090,30,90,474,693,157,499,605,398,372,1255,368,2092,1748,297,1547,1756,2092,726,683,520,10.51,20.29,20.29,32720,95.24,61.37,2.07,39.33,35.37,9.11,26.54,22.32,1805,48.22,22.9,743500,5.73,0.67,28.39,2.17,0.78,2.68,1.01,12.74,108,36225,2.31,1.59,2.85,6.08,7.36,2.13,0.44,0.93,2.16,0.45,1.76,2.46,2.54,0.63,2.8,3.41,1.5,0.14,0.05,2.64
15005,State Senate District 5 (2024); Hawaii,3952,53810,102758,11716,1347,2810,5491,4008,7658,1976,874,259,39486,5273,17010,539,297,385,1426,5273,1628,841500,35746,55046,542555,25063,2770,376,549,2415,870,348,483,26359,73,313,1296,17010,1270,4674,5943,2864,2259,27973,994,15,005,State Senate District 5 (2024); Hawaii,55046,17257,1487,36777,16615,55046,3842,18491,1481,647,2110,7079,887,267,450,600,561,855,310,224,146,1416,553,543,186,143,164,322,553,105,18344,1690,2128,40049,1161,444,152,196,532,300,166,275,1164,59,107,318,543,299,512,544,368,304,1214,319,2128,1452,367,1830,1506,2128,695,581,345,7.34,19.39,19.39,36139,91.52,31.35,2.7,66.81,30.18,6.98,8.01,31.0,2647,50.2,27.04,841500,3.55,1.83,21.65,2.1,0.65,7.47,1.46,4.92,105,18344,1.17,1.13,3.1,5.41,6.25,1.85,1.04,1.74,1.19,0.46,2.05,2.47,2.34,0.66,2.09,2.47,1.23,0.12,0.04,1.89
15006,State Senate District 6 (2024); Hawaii,4472,53886,94701,10610,994,2746,6268,3788,8883,2856,1196,643,40200,7163,19775,706,362,684,2208,7163,2153,976300,39009,54078,496925,24055,3071,275,627,1135,915,198,402,27559,290,548,3504,19775,851,6878,7490,2361,2195,30011,1759,15,006,State Senate District 6 (2024); Hawaii,54078,34241,1163,21294,9641,54078,6650,31836,12061,691,1937,5940,868,239,362,604,425,668,350,245,167,1258,669,717,217,119,216,341,669,80,31356,1633,1951,29623,1122,607,125,166,294,272,107,178,1207,145,184,420,717,227,564,545,307,330,1192,391,1951,1537,317,1727,1204,1951,895,591,556,8.3,22.1,22.1,37984,94.49,63.32,2.15,39.38,17.83,12.3,37.88,36.22,3960,55.28,30.83,976300,5.86,1.46,20.66,1.97,0.72,4.3,3.04,12.71,80,31356,1.25,1.28,3.12,3.79,4.13,1.6,0.64,1.14,1.42,0.84,1.51,2.13,1.69,0.58,2.86,2.13,1.59,0.11,0.04,1.56
15007,State Senate District 7 (2024); Hawaii,6523,55144,95970,10205,1086,2805,6264,4083,8046,3471,691,362,39537,6807,19096,478,618,352,1482,6807,1894,927800,41808,55465,575040,20996,3325,511,951,2141,1496,442,190,24184,100,773,3188,19096,914,5152,6879,3479,2672,26840,1901,15,007,State Senate District 7 (2024); Hawaii,55465,33881,508,21278,20248,55465,6952,22059,2963,898,2020,3608,991,277,422,631,478,694,460,232,113,1297,589,608,200,252,144,346,589,146,31640,2203,2060,41985,1184,502,130,198,416,325,171,110,1181,65,323,431,608,288,441,589,430,390,1183,384,2060,1816,156,1668,1699,2060,1052,535,364,11.83,20.35,20.35,37013,93.62,61.09,0.92,38.36,36.51,12.53,13.43,35.65,2930,43.04,21.77,927800,7.08,0.79,27.39,2.19,0.75,4.79,3.61,13.18,146,31640,1.57,1.4,2.87,4.72,6.23,1.62,0.45,1.5,1.66,1.35,1.62,2.71,2.36,0.28,2.65,2.75,1.84,0.13,0.05,2.53
15008,State Senate District 8 (2024); Hawaii,6630,72935,97668,14401,1181,4004,7838,6208,10531,3810,1075,648,53395,7422,23632,669,476,839,1468,7422,1870,873200,53288,73731,712975,31811,5631,531,1047,2320,1103,258,474,34799,69,868,2988,23632,937,6126,8302,4683,3584,38228,1471,15,008,State Senate District 8 (2024); Hawaii,73731,37694,1218,38256,20222,73731,7804,30471,6839,905,172,5401,743,246,572,530,512,843,459,167,168,128,500,543,204,149,208,276,500,78,15373,1678,-555555555,33171,949,589,148,272,408,198,136,202,834,95,184,439,543,231,513,491,452,397,767,289,-555555555,1204,156,511,1252,-555555555,-555555555,61,540,9.09,19.72,19.72,49696,93.07,51.12,1.65,51.89,27.43,10.58,22.44,31.41,3452,46.51,19.78,873200,3.85,1.36,22.41,2.25,0.72,3.96,2.69,8.59,78,15373,1.24,0.75,1.99,3.47,4.84,1.77,0.58,0.97,1.24,0.59,1.58,2.93,1.63,0.21,0.69,1.7,0.0,0.09,0.02,1.24
15009,State Senate District 9 (2024); Hawaii,3423,53119,145792,5915,413,1407,4694,3226,13303,6067,3033,1579,40981,4521,19112,184,219,341,1474,4521,2745,1310400,38210,53711,566445,21520,4517,689,736,1663,817,317,549,25516,141,387,3996,19112,1022,5332,7723,3357,1678,26993,1160,15,009,State Senate District 9 (2024); Hawaii,53711,20711,844,36611,8136,53711,2509,21840,2728,526,2100,6962,565,134,254,539,419,719,564,365,262,1365,424,635,77,82,128,300,424,128,57912,1713,2119,33104,1100,454,203,177,201,179,136,176,1303,66,163,494,635,184,373,476,339,268,1373,253,2119,1420,285,1589,1268,2119,431,648,358,6.44,32.46,32.46,39637,96.72,38.56,1.57,68.16,15.15,4.67,12.49,23.66,2218,49.06,32.6,1310400,4.3,2.15,26.32,2.0,0.71,5.35,2.07,15.66,128,57912,0.96,0.91,2.07,5.89,6.09,1.6,0.68,0.95,1.76,0.68,1.38,0.98,2.16,0.53,1.23,2.28,0.78,0.11,0.04,2.04
15010,State Senate District 10 (2024); Hawaii,5790,51959,84220,7963,875,2325,4966,3766,10937,4600,1468,1222,41073,10948,21917,1358,461,915,2725,10948,1718,899800,33170,52596,568640,25876,4116,626,463,1286,711,225,1543,28838,1053,1283,2962,21917,2930,9731,6075,2120,1061,30200,989,15,010,State Senate District 10 (2024); Hawaii,52596,17840,1557,35882,9234,52596,3249,23975,2058,944,2068,5895,624,265,344,467,394,787,404,246,360,1560,664,784,354,118,192,387,664,38,36990,1655,2085,35182,1298,767,163,128,228,205,98,260,1302,358,233,373,784,422,621,538,262,228,1278,247,2085,1226,437,1804,996,2085,612,738,386,11.14,26.63,26.63,38122,92.82,33.92,2.96,68.22,17.56,6.18,8.58,49.95,5459,49.86,24.89,899800,3.27,5.35,21.98,1.51,0.63,13.37,8.1,10.27,38,36990,1.76,0.81,2.45,3.2,4.25,1.59,0.87,1.87,1.21,1.44,1.63,4.88,1.9,0.82,2.11,1.76,1.14,0.09,0.04,1.75
