name,s0802_c01_001e,s0802_c01_004e,state,state legislative district (upper chamber),GEOID,public_transportation_pct
"State Senate District 1 (2022); Hawaii",23935,41.9,15,1,15001,41.9
"State Senate District 2 (2022); Hawaii",17767,37.9,15,2,15002,37.9
"State Senate District 3 (2022); Hawaii",22569,37.5,15,3,15003,37.5
"State Senate District 4 (2022); Hawaii",19834,39.2,15,4,15004,39.2
"State Senate District 5 (2022); Hawaii",21456,40.8,15,5,15005,40.8
"State Senate District 6 (2022); Hawaii",18923,38.6,15,6,15006,38.6
"State Senate District 7 (2022); Hawaii",20567,42.3,15,7,15007,42.3
"State Senate District 8 (2022); Hawaii",19234,39.7,15,8,15008,39.7
"State Senate District 9 (2022); Hawaii",22145,41.1,15,9,15009,41.1
"State Senate District 10 (2022); Hawaii",20789,43.5,15,10,15010,43.5
"State Senate District 11 (2022); Hawaii",19456,38.9,15,11,15011,38.9
"State Senate District 12 (2022); Hawaii",21234,40.4,15,12,15012,40.4
"State Senate District 13 (2022); Hawaii",18967,37.2,15,13,15013,37.2
"State Senate District 14 (2022); Hawaii",20456,42.8,15,14,15014,42.8
"State Senate District 15 (2022); Hawaii",19123,39.1,15,15,15015,39.1
"State Senate District 16 (2022); Hawaii",21567,41.6,15,16,15016,41.6
"State Senate District 17 (2022); Hawaii",18834,38.3,15,17,15017,38.3
"State Senate District 18 (2022); Hawaii",20234,43.2,15,18,15018,43.2
"State Senate District 19 (2022); Hawaii",19345,40.0,15,19,15019,40.0
"State Senate District 20 (2022); Hawaii",21456,42.1,15,20,15020,42.1
"State Senate District 21 (2022); Hawaii",18923,37.8,15,21,15021,37.8
"State Senate District 22 (2022); Hawaii",20567,41.4,15,22,15022,41.4
"State Senate District 23 (2022); Hawaii",19234,39.6,15,23,15023,39.6
"State Senate District 24 (2022); Hawaii",21789,43.7,15,24,15024,43.7
"State Senate District 25 (2022); Hawaii",19456,38.5,15,25,15025,38.5
