geoid,name,county,acs_medicaid_coverage,ratio_leg_county,medquest_county_total,population,medicaid_enrollment,medicaid_rate
15001,State House District 1 (2024); Hawaii,HAWAII,6250,0.113251,86422.8,25548,9787,38.31
15002,State House District 2 (2024); Hawaii,HAWAII,5971,0.108196,86422.8,26717,9351,35.0
15003,State House District 3 (2024); Hawaii,HAWAII,8771,0.158932,86422.8,26749,13735,51.35
15004,State House District 4 (2024); Hawaii,HAWAII,8732,0.158226,86422.8,23916,13674,57.18
15005,State House District 5 (2024); Hawaii,HAWAII,8717,0.157954,86422.8,24476,13651,55.77
15006,State House District 6 (2024); Hawaii,HAWAII,4978,0.090202,86422.8,26333,7796,29.6
15007,State House District 7 (2024); Hawaii,HAWAII,6802,0.123254,86422.8,24762,10652,43.02
15008,State House District 8 (2024); Hawaii,HAWAII,4966,0.089985,86422.8,24459,7777,31.8
15009,State House District 9 (2024); Hawaii,MAUI,3993,0.13026,52657.7,26962,6859,25.44
15010,State House District 10 (2024); Hawaii,MAUI,4042,0.131859,52657.7,27410,6943,25.33
15011,State House District 11 (2024); Hawaii,MAUI,4444,0.144973,52657.7,27948,7634,27.31
15012,State House District 12 (2024); Hawaii,MAUI,5273,0.172017,52657.7,27797,9058,32.59
15013,State House District 13 (2024); Hawaii,MAUI,7703,0.251289,52657.7,27347,13232,48.39
15014,State House District 14 (2024); Hawaii,MAUI,5199,0.169603,52657.7,25376,8931,35.19
15015,State House District 15 (2024); Hawaii,KAUAI,5892,0.359224,23320.0,24162,8377,34.67
15016,State House District 16 (2024); Hawaii,KAUAI,4821,0.293928,23320.0,24368,6854,28.13
15017,State House District 17 (2024); Hawaii,KAUAI,5689,0.346848,23320.0,24405,8088,33.14
15018,State House District 18 (2024); Hawaii,HONOLULU,2421,0.014135,247212.1,27156,3494,12.87
15019,State House District 19 (2024); Hawaii,HONOLULU,2914,0.017014,247212.1,26977,4206,15.59
15020,State House District 20 (2024); Hawaii,HONOLULU,4270,0.024931,247212.1,27153,6163,22.7
15021,State House District 21 (2024); Hawaii,HONOLULU,3454,0.020167,247212.1,25160,4985,19.82
15022,State House District 22 (2024); Hawaii,HONOLULU,2783,0.016249,247212.1,24373,4017,16.48
15023,State House District 23 (2024); Hawaii,HONOLULU,5431,0.03171,247212.1,27677,7839,28.32
15024,State House District 24 (2024); Hawaii,HONOLULU,3444,0.020108,247212.1,26942,4971,18.45
15025,State House District 25 (2024); Hawaii,HONOLULU,3801,0.022193,247212.1,26603,5486,20.62
15026,State House District 26 (2024); Hawaii,HONOLULU,5737,0.033497,247212.1,27730,8281,29.86
15027,State House District 27 (2024); Hawaii,HONOLULU,3370,0.019676,247212.1,26844,4864,18.12
15028,State House District 28 (2024); Hawaii,HONOLULU,10453,0.061032,247212.1,26660,15088,56.59
15029,State House District 29 (2024); Hawaii,HONOLULU,6558,0.03829,247212.1,25297,9466,37.42
15030,State House District 30 (2024); Hawaii,HONOLULU,8873,0.051807,247212.1,32275,12807,39.68
15031,State House District 31 (2024); Hawaii,HONOLULU,5423,0.031663,247212.1,34274,7828,22.84
15032,State House District 32 (2024); Hawaii,HONOLULU,3933,0.022964,247212.1,33903,5677,16.74
15033,State House District 33 (2024); Hawaii,HONOLULU,2635,0.015385,247212.1,26647,3803,14.27
15034,State House District 34 (2024); Hawaii,HONOLULU,4190,0.024464,247212.1,28832,6048,20.98
15035,State House District 35 (2024); Hawaii,HONOLULU,4461,0.026046,247212.1,24966,6439,25.79
15036,State House District 36 (2024); Hawaii,HONOLULU,6426,0.037519,247212.1,26480,9275,35.03
15037,State House District 37 (2024); Hawaii,HONOLULU,2172,0.012682,247212.1,26975,3135,11.62
15038,State House District 38 (2024); Hawaii,HONOLULU,3369,0.019671,247212.1,28473,4863,17.08
15039,State House District 39 (2024); Hawaii,HONOLULU,3882,0.022666,247212.1,26451,5603,21.18
15040,State House District 40 (2024); Hawaii,HONOLULU,5119,0.029888,247212.1,28368,7389,26.05
15041,State House District 41 (2024); Hawaii,HONOLULU,5235,0.030566,247212.1,34429,7556,21.95
15042,State House District 42 (2024); Hawaii,HONOLULU,8379,0.048922,247212.1,28585,12094,42.31
15043,State House District 43 (2024); Hawaii,HONOLULU,5122,0.029906,247212.1,30309,7393,24.39
15044,State House District 44 (2024); Hawaii,HONOLULU,7927,0.046283,247212.1,26442,11442,43.27
15045,State House District 45 (2024); Hawaii,HONOLULU,10578,0.061762,247212.1,24841,15268,61.46
15046,State House District 46 (2024); Hawaii,HONOLULU,7040,0.041104,247212.1,45059,10162,22.55
15047,State House District 47 (2024); Hawaii,HONOLULU,5307,0.030986,247212.1,26146,7660,29.3
15048,State House District 48 (2024); Hawaii,HONOLULU,3407,0.019892,247212.1,26645,4918,18.46
15049,State House District 49 (2024); Hawaii,HONOLULU,5503,0.03213,247212.1,27172,7943,29.23
15050,State House District 50 (2024); Hawaii,HONOLULU,3912,0.022841,247212.1,36928,5647,15.29
15051,State House District 51 (2024); Hawaii,HONOLULU,3742,0.021848,247212.1,26850,5401,20.12
