geoid,name,county,acs_medicaid_coverage,ratio_leg_county,medquest_county_total,population,medicaid_enrollment,medicaid_rate
15001,State Senate District 1 (2024); Hawaii,HAWAII,13569,0.245873,86422.8,55680,21249,38.16
15002,State Senate District 2 (2024); Hawaii,HAWAII,17940,0.325077,86422.8,48687,28094,57.7
15003,State Senate District 3 (2024); Hawaii,HAWAII,13630,0.246978,86422.8,52036,21345,41.02
15004,State Senate District 4 (2024); Hawaii,HAWAII,10048,0.182072,86422.8,46557,15735,33.8
15005,State Senate District 5 (2024); Hawaii,MAUI,8771,0.286129,52657.7,53810,15067,28.0
15006,State Senate District 6 (2024); Hawaii,MAUI,8907,0.290566,52657.7,53886,15301,28.39
15007,State Senate District 7 (2024); Hawaii,MAUI,12976,0.423305,52657.7,55144,22290,40.42
15008,State Senate District 8 (2024); Hawaii,KAUAI,16402,1.0,23320.0,72935,23320,31.97
15009,State Senate District 9 (2024); Hawaii,HONOLULU,6554,0.038267,247212.1,53119,9460,17.81
15010,State Senate District 10 (2024); Hawaii,HONOLULU,7793,0.045501,247212.1,51959,11248,21.65
15011,State Senate District 11 (2024); Hawaii,HONOLULU,8294,0.048426,247212.1,53817,11972,22.24
15012,State Senate District 12 (2024); Hawaii,HONOLULU,8880,0.051848,247212.1,54685,12817,23.44
15013,State Senate District 13 (2024); Hawaii,HONOLULU,13857,0.080907,247212.1,53091,20001,37.67
15014,State Senate District 14 (2024); Hawaii,HONOLULU,12575,0.073422,247212.1,52323,18151,34.69
15015,State Senate District 15 (2024); Hawaii,HONOLULU,13841,0.080813,247212.1,76554,19978,26.1
15016,State Senate District 16 (2024); Hawaii,HONOLULU,5589,0.032632,247212.1,54477,8067,14.81
15017,State Senate District 17 (2024); Hawaii,HONOLULU,8209,0.04793,247212.1,55689,11849,21.28
15018,State Senate District 18 (2024); Hawaii,HONOLULU,5752,0.033584,247212.1,50730,8302,16.37
15019,State Senate District 19 (2024); Hawaii,HONOLULU,11492,0.067098,247212.1,54561,16588,30.4
15020,State Senate District 20 (2024); Hawaii,HONOLULU,9843,0.05747,247212.1,61605,14207,23.06
15021,State Senate District 21 (2024); Hawaii,HONOLULU,14558,0.085,247212.1,61847,21013,33.98
15022,State Senate District 22 (2024); Hawaii,HONOLULU,18255,0.106585,247212.1,49734,26349,52.98
15023,State Senate District 23 (2024); Hawaii,HONOLULU,10930,0.063817,247212.1,68188,15776,23.14
15024,State Senate District 24 (2024); Hawaii,HONOLULU,8994,0.052513,247212.1,63172,12982,20.55
15025,State Senate District 25 (2024); Hawaii,HONOLULU,5855,0.034186,247212.1,54071,8451,15.63
