city,county,lat,lon,millionaire_count
Honolulu,Honolulu,21.307,-157.858,157
Kihei,Maui,20.762,-156.45,85
Kailua-Kona,Hawaiʻi,19.64,-155.996,74
Lahaina,Maui,20.875,-156.677,60
Kamuela,Hawaiʻi,20.027,-155.668,34
Holualoa,Hawaiʻi,19.621,-155.948,18
Kailua,Honolulu,21.392,-157.74,16
Koloa,Kauaʻi,21.906,-159.467,15
Kilauea,Kauaʻi,22.211,-159.404,12
Kula,Maui,20.789,-156.343,9
Paʻia,Maui,20.902,-156.371,8
Hanalei,Kauaʻi,22.207,-159.499,7
Haleʻiwa,Honolulu,21.594,-158.103,6
Kaneʻohe,Honolulu,21.402,-157.799,6
Princeville,Kauaʻi,22.22,-159.487,5
Kapaʻa,Kauaʻi,22.075,-159.319,4
Kahului,Maui,20.89,-156.475,4
Kahuku,Honolulu,21.681,-157.952,3
Kapolei,Honolulu,21.336,-158.058,3
Waikoloa,Hawaiʻi,19.927,-155.789,3
Hilo,Hawaiʻi,19.703,-155.085,3
Lanaʻi City,Maui,20.827,-156.918,3
Kealakekua,Hawaiʻi,19.522,-155.928,3
Hawi,Hawaiʻi,20.241,-155.834,3
Haʻiku,Maui,20.916,-156.317,3
Wailea,Maui,20.687,-156.443,3
Maui,Maui,20.89,-156.475,3
Kaunakakai,Maui,21.094,-157.024,2
Kalaheo,Kauaʻi,21.927,-159.529,2
Makawao,Maui,20.857,-156.314,2
Laʻie,Honolulu,21.645,-157.928,2
Anahola,Kauaʻi,22.143,-159.314,2
Waiʻanae,Honolulu,21.443,-158.182,2
ʻEwa Beach,Honolulu,21.316,-158.007,1
Lanaʻi,Maui,20.827,-156.918,1
ʻAiea,Honolulu,21.382,-157.934,1
Kukiʻo,Hawaiʻi,19.832,-155.985,1
Kekaha,Kauaʻi,21.974,-159.711,1
Waialua,Honolulu,21.577,-158.131,1
Kealia,Kauaʻi,22.118,-159.301,1
Waipahu,Honolulu,21.387,-158.009,1
Koʻolau Ranch,Kauaʻi,22.18,-159.38,1
Kaʻupulehu,Hawaiʻi,19.832,-155.972,1
Pepeʻekeo,Hawaiʻi,19.838,-155.106,1
Kapaʻau,Hawaiʻi,20.232,-155.799,1
Wailuku,Maui,20.89,-156.504,1
Mililani,Honolulu,21.451,-157.961,1
Waimanalo,Honolulu,21.336,-157.722,1
Waimea,Kauaʻi,21.957,-159.668,1
Hana,Maui,20.76,-155.991,1
Pahoa,Hawaiʻi,19.493,-154.946,1
Hoʻolehua,Maui,21.169,-157.094,1
