school_id,school_name,school_type,is_charter,address,city,zip,county,state,island,complex_name,complex_area_name,complex_district,is_cep,enrollment,last_updated
335,Ahuimanu Elem School,Elementary,False,47-470 Hui Aeko Place,Kaneohe,96744,Honolulu,HI,Oahu,Castle,Castle-Kahuku,Windward,False,280,2025-09-25 17:44:44
200,Aiea Elem School,Elementary,False,99-370 Moanalua Road,Aiea,96701,Honolulu,HI,Oahu,Aiea,Aiea-Moanalua-Radford,Central,True,303,2025-09-25 17:44:44
202,Aiea High School,High School,False,98-1276 Ulune Street,Aiea,96701,Honolulu,HI,Oahu,Aiea,Aiea-Moanalua-Radford,Central,False,849,2025-09-25 17:44:44
201,Aiea Inter School,Middle / Inter,False,99-600 Kulawea Street,Aiea,96701,Honolulu,HI,Oahu,Aiea,Aiea-Moanalua-Radford,Central,False,468,2025-09-25 17:44:44
300,Aikahi Elem School,Elementary,False,281 Ilihau Street,Kailua,96734,Honolulu,HI,Oahu,Kalaheo,Kailua-Kalaheo,Windward,False,,2025-09-25 17:44:44
100,Aina Haina Elem School,Elementary,False,801 West Hind Drive,Honolulu,96821,Honolulu,HI,Oahu,Kaiser,Farrington-Kaiser-Kalani,Honolulu,False,,2025-09-25 17:44:44
101,Ala Wai Elem School,Elementary,False,503 Kamoku Street,Honolulu,96826,Honolulu,HI,Oahu,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,True,386,2025-09-25 17:44:44
203,Aliamanu Elem School,Elementary,False,3265 Salt Lake Blvd.,Honolulu,96818,Honolulu,HI,Oahu,Radford,Aiea-Moanalua-Radford,Central,False,,2025-09-25 17:44:44
204,Aliamanu Middle School,Middle / Inter,False,3271 Salt Lake Blvd.,Honolulu,96818,Honolulu,HI,Oahu,Radford,Aiea-Moanalua-Radford,Central,False,,2025-09-25 17:44:44
102,Aliiolani Elem School,Elementary,False,1240 7th Avenue,Honolulu,96816,Honolulu,HI,Oahu,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,False,228,2025-09-25 17:44:44
103,Anuenue School,K - 12,False,2528 10th Avenue,Honolulu,96816,Honolulu,HI,Oahu,Roosevelt,Kaimuki-McKinley-Roosevelt,Honolulu,True,419,2025-09-25 17:44:44
250,August Ahrens Elem School,Elementary,False,94-1170 Waipahu Street,Waipahu,96797,Honolulu,HI,Oahu,Waipahu,Pearl City-Waipahu,Leeward,False,1163,2025-09-25 17:44:44
400,Baldwin High School,High School,False,1650 Kaahumanu Avenue,Wailuku,96793,Maui,HI,Maui,Baldwin,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,False,1263,2025-09-25 17:44:44
251,Barbers Point Elem School,Elementary,False,3001 Boxer Road,Kapolei,96707,Honolulu,HI,Oahu,Kapolei,Campbell-Kapolei,Leeward,True,510,2025-09-25 17:44:44
252,Campbell High School,High School,False,91-980 North Road,Ewa Beach,96706,Honolulu,HI,Oahu,Campbell,Campbell-Kapolei,Leeward,False,2917,2025-09-25 17:44:44
301,Castle High School,High School,False,45-386 Kaneohe Bay Drive,Kaneohe,96744,Honolulu,HI,Oahu,Castle,Castle-Kahuku,Windward,False,986,2025-09-25 17:44:44
351,DeSilva Elem School,Elementary,False,278 Ainako Avenue,Hilo,96720,Hawaii,HI,Hawaii,Hilo,Hilo-Waiakea,Hawaii,False,426,2025-09-25 17:44:44
105,Dole Middle School,Middle / Inter,False,1803 Kamehameha IV Road,Honolulu,96819,Honolulu,HI,Oahu,Farrington,Farrington-Kaiser-Kalani,Honolulu,True,549,2025-09-25 17:44:44
451,Eleele Elem School,Elementary,False,4750 Uliuli Road,Eleele,96705,Kauai,HI,Kauai,Waimea,Kapaa-Kauai-Waimea,Kauai,False,383,2025-09-25 17:44:44
302,Enchanted Lake Elem School,Elementary,False,770 Keolu Drive,Kailua,96734,Honolulu,HI,Oahu,Kailua,Kailua-Kalaheo,Windward,False,267,2025-09-25 17:44:44
254,Ewa Beach Elem School,Elementary,False,91-740 Papipi Road,Ewa Beach,96706,Honolulu,HI,Oahu,Campbell,Campbell-Kapolei,Leeward,False,708,2025-09-25 17:44:44
253,Ewa Elem School,Elementary,False,91-1280 Renton Road,Ewa Beach,96706,Honolulu,HI,Oahu,Campbell,Campbell-Kapolei,Leeward,False,1255,2025-09-25 17:44:44
296,Ewa Makai Middle School,Middle / Inter,False,91-6291 Kapolei Parkway,Ewa Beach,96706,Honolulu,HI,Oahu,Campbell,Campbell-Kapolei,Leeward,False,1196,2025-09-25 17:44:44
106,Farrington High School,High School,False,1564 North King Street,Honolulu,96817,Honolulu,HI,Oahu,Farrington,Farrington-Kaiser-Kalani,Honolulu,False,2053,2025-09-25 17:44:44
107,Fern Elem School,Elementary,False,1121 Middle Street,Honolulu,96819,Honolulu,HI,Oahu,Farrington,Farrington-Kaiser-Kalani,Honolulu,True,429,2025-09-25 17:44:44
352,Haaheo Elem School,Elementary,False,121 Haaheo Road,Hilo,96720,Hawaii,HI,Hawaii,Hilo,Hilo-Waiakea,Hawaii,False,118,2025-09-25 17:44:44
108,Hahaione Elem School,Elementary,False,595 Pepeekeo Street,Honolulu,96825,Honolulu,HI,Oahu,Kaiser,Farrington-Kaiser-Kalani,Honolulu,False,,2025-09-25 17:44:44
401,Haiku Elem School,Elementary,False,105 Pauwela Road,Haiku,96708,Maui,HI,Maui,Kekaulike,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,False,346,2025-09-25 17:44:44
206,Haleiwa Elem School,Elementary,False,66-505 Haleiwa Road,Haleiwa,96712,Honolulu,HI,Oahu,Waialua,Leilehua-Mililani-Waialua,Central,False,214,2025-09-25 17:44:44
402,Hana High & Elem School,K - 12,False,4111 Hana Highway,Hana,96713,Maui,HI,Maui,Hana,Hana-Lahainaluna-Lanai-Molokai,Maui,True,401,2025-09-25 17:44:44
452,Hanalei Elem School,Elementary,False,5-5415 Kuhio Highway,Hanalei,96714,Kauai,HI,Kauai,Kapaa,Kapaa-Kauai-Waimea,Kauai,False,194,2025-09-25 17:44:44
303,Hauula Elem School,Elementary,False,54-046 Kamehameha Highway,Hauula,96717,Honolulu,HI,Oahu,Kahuku,Castle-Kahuku,Windward,True,399,2025-09-25 17:44:44
304,Heeia Elem School,Elementary,False,46-202 Haiku Road,Kaneohe,96744,Honolulu,HI,Oahu,Castle,Castle-Kahuku,Windward,False,375,2025-09-25 17:44:44
208,Helemano Elem School,Elementary,False,1001 Ihi Ihi Avenue,Wahiawa,96786,Honolulu,HI,Oahu,Leilehua,Leilehua-Mililani-Waialua,Central,False,533,2025-09-25 17:44:44
