NAME,state,district,geoid,total_households,snap_households,snap_households_adjusted,snap_household_rate,snap_participation_rate,snap_benefit_monthly_per_household,snap_benefit_annual_per_household,snap_benefits_annual_total,snap_need_index,median_income,renter_occupied,total_housing_units,rent_30_34_pct,rent_35_39_pct,rent_40_49_pct,rent_50_plus_pct,rent_total_units
State Senate District 1; Hawaii; Hawaii,15,01,1501,19155,3772,6516,0.3402,0.3402,715.69,8588.29,55961299.27,1.09453665554908,77898,6516,19155,520,320,341,1566,6516
State Senate District 2; Hawaii; Hawaii,15,02,1502,18135,5178,8944,0.4932,0.4932,1282.29,15387.43,137625183.26,1.9610552670029946,57919,3884,18135,366,314,343,1139,3884
State Senate District 3; Hawaii; Hawaii,15,03,1503,18872,2522,4356,0.2308,0.2308,602.87,7234.48,31513391.28,0.9220004277339584,81101,5463,18872,285,221,314,1112,5463
State Senate District 4; Hawaii; Hawaii,15,04,1504,16796,1617,2793,0.1663,0.1663,593.14,7117.71,19879751.11,0.9071179754029145,94159,3762,16796,410,246,377,744,3762
State Senate District 5; Hawaii; Hawaii,15,05,1505,16701,1739,3004,0.1799,0.1799,499.58,5994.93,18008784.07,0.7640263437785232,98140,5314,16701,543,268,402,1298,5314
State Senate District 6; Hawaii; Hawaii,15,06,1506,19859,1477,2551,0.1285,0.1285,597.24,7166.88,18282699.16,0.91338435869455,93770,7340,19859,681,400,969,1968,7340
State Senate District 7; Hawaii; Hawaii,15,07,1507,18947,2045,3532,0.1864,0.1864,624.55,7494.65,26471099.63,0.9551578334496341,94216,6791,18947,457,531,368,1586,6791
State Senate District 8; Hawaii; Hawaii,15,08,1508,23465,2789,4818,0.2053,0.2053,496.81,5961.67,28723312.87,0.7597859433911447,93612,7677,23465,688,411,835,1452,7677
State Senate District 9; Hawaii; Hawaii,15,09,1509,18907,483,834,0.0441,0.0441,345.41,4144.9,3456846.05,0.5282480881094423,145460,4509,18907,185,251,324,1203,4509
State Senate District 10; Hawaii; Hawaii,15,10,1510,21945,1567,2707,0.1234,0.1234,606.96,7283.5,19716425.1,0.9282467812119518,84238,11137,21945,1338,461,751,2711,11137
State Senate District 11; Hawaii; Hawaii,15,11,1511,24611,2491,4303,0.1748,0.1748,705.0,8460.06,36403628.03,1.0781941701620121,90576,11994,24611,1001,862,943,2869,11994
State Senate District 12; Hawaii; Hawaii,15,12,1512,30427,2508,4332,0.1424,0.1424,686.78,8241.31,35701362.18,1.0503161751335188,74157,16905,30427,1195,986,1946,4418,16905
State Senate District 13; Hawaii; Hawaii,15,13,1513,21250,3450,5959,0.2804,0.2804,871.33,10456.0,62307280.42,1.332567776102919,71953,12528,21250,1309,928,1235,2869,12528
State Senate District 14; Hawaii; Hawaii,15,14,1514,14311,2313,3995,0.2792,0.2792,734.3,8811.66,35202568.53,1.1230035641083,100384,5925,14311,625,318,515,1290,5925
State Senate District 15; Hawaii; Hawaii,15,15,1515,24921,2778,4799,0.1926,0.1926,781.08,9373.0,44981035.75,1.1945444875264135,91442,16021,24921,1596,1439,1662,5171,16021
State Senate District 16; Hawaii; Hawaii,15,16,1516,19655,1054,1821,0.0926,0.0926,242.57,2910.88,5300718.78,0.37097847077448975,116350,4598,19655,412,261,367,697,4598
State Senate District 17; Hawaii; Hawaii,15,17,1517,18716,1659,2866,0.1531,0.1531,535.76,6429.12,18425869.56,0.8193616740626808,117941,5378,18716,523,411,749,1285,5378
State Senate District 18; Hawaii; Hawaii,15,18,1518,17467,831,1435,0.0822,0.0822,665.46,7985.55,11459269.4,1.017721433892694,119677,3642,17467,410,204,369,1012,3642
State Senate District 19; Hawaii; Hawaii,15,19,1519,13981,2526,4363,0.3121,0.3121,791.8,9501.54,41455218.09,1.210926017252747,101126,5403,13981,644,419,498,1218,5403
State Senate District 20; Hawaii; Hawaii,15,20,1520,17961,1730,2988,0.1664,0.1664,387.6,4651.22,13897834.76,0.5927752124853538,131590,5339,17961,599,732,526,1483,5339
State Senate District 21; Hawaii; Hawaii,15,21,1521,18331,2452,4236,0.2311,0.2311,619.52,7434.2,31491291.52,0.9474546342672643,116531,5254,18331,900,334,589,1542,5254
State Senate District 22; Hawaii; Hawaii,15,22,1522,13705,3770,6512,0.4752,0.4752,1121.14,13453.67,87610314.4,1.7146065997385616,85715,5260,13705,376,335,515,1925,5260
State Senate District 23; Hawaii; Hawaii,15,23,1523,22780,1954,3375,0.1482,0.1482,892.7,10712.46,36154556.76,1.3652527621733572,93343,12190,22780,1198,1048,1722,4306,12190
State Senate District 24; Hawaii; Hawaii,15,24,1524,20144,1156,1997,0.0991,0.0991,694.31,8331.67,16638349.69,1.0618320572066533,116704,6930,20144,492,594,739,2259,6930
State Senate District 25; Hawaii; Hawaii,15,25,1525,17949,1094,1890,0.1053,0.1053,252.99,3035.85,5737763.31,0.3869052907888428,152705,3362,17949,443,219,334,472,3362
