NAME,state,district,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
State Senate District 01; Hawaii; Hawaii,15,1,1501,51294.70228432723,8393.072528283124,0.1636245490179514,2405.90436559937,20192929.836588513,962.3617462397481,8077171.934635405,6094.619702686997,0.11881577299941108,1055.8020312863791,6434711.862014919,352093
State Senate District 02; Hawaii; Hawaii,15,2,1502,32611.27431333255,7852.6700459743015,0.24079617283657861,2463.735599917135,19346902.74666981,985.494239966854,7738761.098667924,5320.987858069079,0.16316405813966264,1132.123840831017,6024017.210892373,331121
State Senate District 03; Hawaii; Hawaii,15,3,1503,34348.042544273296,5146.223409829195,0.1498258133107851,2299.3429702582403,11832932.62076915,919.7371881032961,4733173.04830766,3716.5136749449866,0.10820161498736193,1048.0452221506994,3895074.400083831,277508
State Senate District 04; Hawaii; Hawaii,15,4,1504,35705.98085806695,4508.03401591338,0.12625431111479726,2279.316163032687,10275234.795972522,911.7264652130749,4110093.9183890093,3367.878764298938,0.09432253878380835,982.872828469505,3310196.5270088785,275072
State Senate District 05; Hawaii; Hawaii,15,5,1505,54017.836152508724,6926.185644781768,0.12822034605805102,2239.4501360597346,15510847.384581512,895.780054423894,6204338.953832605,5310.8428743261,0.09831646827414525,1011.6122015968439,5372513.452431937,386330
State Senate District 06; Hawaii; Hawaii,15,6,1506,52226.00922438498,5920.775365825219,0.11336832842017602,1944.3141090698732,11511847.080407312,777.7256436279494,4604738.832162925,3958.6901951986297,0.0757992091295053,1074.0959499692951,4252013.105846006,383670
State Senate District 07; Hawaii; Hawaii,15,7,1507,42856.1546231063,6293.038989393013,0.1468409623947003,1970.320787128499,12399305.535011176,788.1283148513996,4959722.214004471,4070.4669304752697,0.09497975182963894,1120.6265815773268,4561473.441722056,336497
State Senate District 08; Hawaii; Hawaii,15,8,1508,53480.0,6680.0,0.12490650710545999,2052.694610778443,13712000.0,821.0778443113772,5484800.0,4620.0,0.08638743455497382,1068.8311688311687,4938000.0,391874
State Senate District 09; Hawaii; Hawaii,15,9,1509,52510.590527559165,3433.5398907059266,0.06538756955901877,1671.1499277145397,5737959.940158198,668.4599710858159,2295183.976063279,1971.556154178293,0.03754587663880032,1125.2015225276173,2218397.986430109,370734
State Senate District 10; Hawaii; Hawaii,15,10,1510,54562.53662034564,5644.322621482515,0.10344685146800567,1956.4673825305324,11042933.10540977,782.586953012213,4417173.242163908,3184.9701799290474,0.05837283926314772,1341.9774160329855,4274158.052203296,384510
State Senate District 11; Hawaii; Hawaii,15,11,1511,54115.04401146182,4937.029207054327,0.09123210185338926,1759.9009982860025,8688682.630062062,703.960399314401,3475473.052024825,2530.8783082782156,0.04676847916343122,1391.7824097303287,3522431.910629673,382704
