geography_type,geography_name,total_returns,returns_with_eitc,returns_with_ctc,total_federal_eitc,total_state_eitc,total_ctc,avg_federal_eitc_per_claim,avg_state_eitc_per_claim,avg_ctc_per_claim,eitc_participation_rate,ctc_participation_rate,county_name,district_number
state,Hawaii,1349497,82116,242909,384524579.9999998,188916926.15399992,72730506.00000001,4682.699839251788,2300.6104310244036,299.41462028990287,6.084933867952282,17.999965913225445,,
county,Hawaii County,157736,9598,28393,58459690.65309922,28721246.017867647,7087972.13331149,6090.82003053753,2992.419881003089,249.63801406373014,6.084828444305613,18.000264015333325,Hawaii,
county,Honolulu County,972494,59176,175049,263436076.06603923,129426144.17124508,55365492.18519829,4451.738476173436,2187.139113344009,316.28568106757706,6.084972881856697,18.000007063609115,Honolulu,
county,Kauai County,65519,3987,11794,19361405.865750365,9512258.701843154,2796122.270961167,4856.133901617849,2385.8185858648494,237.08006367315303,6.085209116762192,18.00074149061783,Kauai,
county,Maui County,153739,9355,27673,43267407.41511114,21257277.263044104,7480919.410529047,4625.056912358219,2272.290461041593,270.33279407830906,6.084954999370664,17.99988879717631,Maui,
house_district,House District 1,34291,2087,6172,12708628.402847655,6243749.134319053,1540863.507241628,6089.42,2991.7341324001213,249.65,6.086145052637718,17.998891837508385,,1.0
house_district,House District 2,34291,2087,6172,12708628.402847655,6243749.134319053,1540863.507241628,6089.42,2991.7341324001213,249.65,6.086145052637718,17.998891837508385,,2.0
house_district,House District 3,34291,2087,6172,12708628.402847655,6243749.134319053,1540863.507241628,6089.42,2991.7341324001213,249.65,6.086145052637718,17.998891837508385,,3.0
house_district,House District 4,20574,1252,3703,7625177.041708593,3746249.480591432,924518.1043449768,6090.4,2992.2120452008244,249.67,6.085350442305823,17.998444638864587,,4.0
house_district,House District 5,13716,835,2469,5083451.361139062,2497499.6537276213,616345.4028966513,6087.97,2991.017549374397,249.63,6.087780694079907,18.00087489063867,,5.0
house_district,House District 6,6858,417,1234,2541725.680569531,1248749.8268638107,308172.70144832565,6095.27,2994.603901352064,249.73,6.080489938757655,17.993584135316418,,6.0
house_district,House District 7,13716,835,2469,5083451.361139062,2497499.6537276213,616345.4028966513,6087.97,2991.017549374397,249.63,6.087780694079907,18.00087489063867,,7.0
house_district,House District 8,21963,1336,3953,6181058.202158734,3036753.894720586,1068702.772932721,4626.54,2273.019382275888,270.35,6.082957701589036,17.998451941902292,,8.0
house_district,House District 9,10981,668,1977,3090529.101079367,1518376.947360293,534351.3864663605,4626.54,2273.019382275888,270.28,6.08323467808032,18.00382478827065,,9.0
