school_id,school_name,is_cep,enrollment
100,Aina Haina Elementary,,
101,Ala Wai Elementary,X,  386 
102,Aliiolani Elementary,,  228 
103,Kula Kaiapuni O Anuenue,X,  419 
104,Princess Ruth Ke'elikolani Middle,X,  370 
105,Sanford B. Dole Middle,X,  549 
106,Wallace Rider Farrington High,,"  2,053 "
107,Joseph J. Fern Elementary,X,  429 
108,Hahaione Elementary,,
109,Hokulani Elementary,,
110,William P. Jarrett Middle,X,  285 
111,Thomas Jefferson Elementary,,  353 
112,Queen Kaahumanu Elementary,X,  477 
113,Kaewai Elementary,X,  269 
114,Kahala Elementary,,
115,Kaimuki High,X,  527 
116,Kaimuki Middle,,
117,Princess Victoria Kaiulani Elementary,X,  240 
118,King David Kalakaua Middle,X,  926 
119,Kalani High,,
120,Kalihi Elementary,X,  212 
121,Kalihi-Kai Elementary,,  549 
122,Kalihi-Uka Elementary,,  274 
123,Kalihi-Waena Elementary,X,  439 
124,Kapalama Elementary,,  500 
125,Kauluwela Elementary,X,  408 
126,Prince David Kawananakoa Middle,,  605 
127,Koko Head Elementary,,
128,Prince Jonah Kuhio Elementary,X,  202 
129,Lanakila Elementary,,  311 
130,King Liholiho Elementary,,
131,Princess Miriam K. Likelike Elementary,X,  247 
133,Linapuni Elementary,X,  160 
134,Abraham Lincoln Elementary,X,  377 
135,King William Lunalilo Elementary,X,  249 
136,Maemae Elementary,,
137,Manoa Elementary,,
138,William McKinley High,,"  1,228 "
139,Niu Valley Middle,,
140,Noelani Elementary,,
141,Nuuanu Elementary,,
142,Palolo Elementary,X,  254 
143,Pauoa Elementary,,  358 
145,Puuhale Elementary,X,  273 
146,Theodore Roosevelt High,,"  1,320 "
147,Royal Elementary,,  298 
148,Robert Louis Stevenson Middle,,  571 
150,Waikiki Elementary,,
152,George Washington Middle,X,  579 
153,John H. Wilson Elementary,,
154,Henry J. Kaiser High,,
155,Kamiloiki Elementary,,
200,Aiea Elementary,X,  303 
201,Aiea Intermediate,,  468 
202,Aiea High,,  849 
203,Aliamanu Elementary,,
204,Aliamanu Middle,,
206,Haleiwa Elementary,,  214 
207,Daniel K. Inouye Elementary,,
208,Helemano Elementary,,  533 
209,Horace Meek Hickam Elementary,,
210,Iliahi Elementary,,  344 
211,Kaala Elementary,X,  388 
212,Kipapa Elementary,,  485 
214,Leilehua High,,"  1,515 "
215,Makalapa Elementary,,
216,Mililani High,,
217,Moanalua Elementary,,
218,Moanalua High,,
219,Moanalua Middle,,
220,Mokulele Elementary,,
221,Chester W. Nimitz Elementary,,
222,Pearl Harbor Elementary,,  408 
223,Pearl Harbor Kai Elementary,,
224,Admiral Arthur W. Radford High,,
225,Red Hill Elementary,,
226,Samuel K. Solomon Elementary,,
227,Alvah A. Scott Elementary,,  453 
228,William R. Shafter Elementary,,
229,Wahiawa Elementary,X,  461 
230,Wahiawa Middle,X,  692 
231,Waialua Elementary,,  459 
232,Waialua High & Intermediate,,  559 
233,Waimalu Elementary,,  316 
234,Mililani Waena Elementary,,  667 
235,Gustave H. Webling Elementary,,
236,Major Sheldon Wheeler Elementary,,
237,Major Sheldon Wheeler Middle,,
238,Mililani Middle,,
