code,name,address,city,zip,phone,fax,principal,grade_from,grade_to,type,website,complex,complex_area,district,island,charter
335,Ahuimanu Elem School,47-470 Hui Aeko Place,Kaneohe,96744,808.305.4800,808.239.3127,Kimi Ikeda,K,6,Elementary,http://www.ahuimanu.k12.hi.us,Castle,Castle-Kahuku,Windward,Oahu,FALSE
200,Aiea Elem School,99-370 Moanalua Road,Aiea,96701,808.305.4400,808.483.7201,Ryan Ishimoto,PreK,6,Elementary,https://www.aieael.k12.hi.us,Aiea,Aiea-Moanalua-Radford,Central,Oahu,FALSE
202,Aiea High School,98-1276 Ulune Street,Aiea,96701,808.305.6500,808.483.7303,Wayne Guevara,9,12,High School,https://www.aieahs.k12.hi.us/,Aiea,Aiea-Moanalua-Radford,Central,Oahu,FALSE
201,Aiea Inter School,99-600 Kulawea Street,Aiea,96701,808.305.9200,808.483.7235,Michael John Jose,7,8,Middle / Inter,http://www.aieais.k12.hi.us/,Aiea,Aiea-Moanalua-Radford,Central,Oahu,FALSE
300,Aikahi Elem School,281 Ilihau Street,Kailua,96734,808.305.6700,808.254.7962,Lisa Anne DeLong,K,6,Elementary,http://www.aikahielementary.com/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,FALSE
100,Aina Haina Elem School,801 West Hind Drive,Honolulu,96821,808.305.2000,808.377.2426,Brendan Burns,PreK,5,Elementary,http://www.ainahaina.k12.hi.us,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
101,Ala Wai Elem School,503 Kamoku Street,Honolulu,96826,808.973.0070,808.973.0081,Michelle Debusca,PreK,5,Elementary,http://www.alawaielementary.org/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
203,Aliamanu Elem School,3265 Salt Lake Blvd.,Honolulu,96818,808.421.4280,808.421.4283,Sandra Yoshimi,K,6,Elementary,http://aliamanu.k12.hi.us/,Radford,Aiea-Moanalua-Radford,Central,Oahu,FALSE
204,Aliamanu Middle School,3271 Salt Lake Blvd.,Honolulu,96818,808.307.8000,808.421.4103,Albert Hetrick,7,8,Middle / Inter,https://aliamanumiddleschool.org,Radford,Aiea-Moanalua-Radford,Central,Oahu,FALSE
102,Aliiolani Elem School,1240 7th Avenue,Honolulu,96816,808.733.4750,808.733.4758,Jennifer Ichiyama-Bangan,K,5,Elementary,https://www.aliiolanischool.com/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
103,Anuenue School,2528 10th Avenue,Honolulu,96816,808.307.3000,808.733.8467,Christopher Yim,K,12,K - 12,https://www.anuenue.org/,Roosevelt,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
250,August Ahrens Elem School,94-1170 Waipahu Street,Waipahu,96797,808.307.7200,808.675.0216,Hanh Nguyen,K,6,Elementary,http://www.augustahrens.org/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,FALSE
400,Baldwin High School,1650 Kaahumanu Avenue,Wailuku,96793,808.727.3200,808.984.5674,Christopher Wilhelm,9,12,High School,http://www.baldwin.k12.hi.us/,Baldwin,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,Maui,FALSE
251,Barbers Point Elem School,3001 Boxer Road,Kapolei,96707,808.305.8400,808.673.7403,Sandy Calio,K,5,Elementary,http://barbers.k12.hi.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,FALSE
