NAME,total_population,below_poverty,total_population_poverty,median_income,median_income_moe,bachelors_plus,pop_25_plus,renter_occupied,total_housing_units,state,state legislative district (lower chamber),district,geoid,poverty_rate,bachelors_rate,renter_rate
State House District 1 (2022); Hawaii,25715,3015,24936,79754,6803,3408,18132,2156,8469,15,1,1,15001,12.09,18.8,25.46
State House District 2 (2022); Hawaii,26165,4073,25348,78808,9468,4552,18924,3463,9744,15,2,2,15002,16.07,24.05,35.54
State House District 3 (2022); Hawaii,27196,4771,27161,68178,7314,2479,18982,2534,9656,15,3,3,15003,17.57,13.06,26.24
State House District 4 (2022); Hawaii,23550,5291,23451,46757,12508,2741,17142,1985,8831,15,4,4,15004,22.56,15.99,22.48
State House District 5 (2022); Hawaii,24157,3794,23654,62477,4803,2710,17667,2147,9162,15,5,5,15005,16.04,15.34,23.43
State House District 6 (2022); Hawaii,27738,2502,27439,88477,6131,5019,21315,2626,10066,15,6,6,15006,9.12,23.55,26.09
State House District 7 (2022); Hawaii,24401,3506,24287,100065,9612,3533,17559,2791,8169,15,7,7,15007,14.44,20.12,34.17
State House District 8 (2022); Hawaii,24762,2305,24692,93393,10361,3646,18067,1923,8861,15,8,8,15008,9.34,20.18,21.7
State House District 9 (2022); Hawaii,27002,2379,25978,92340,11348,3861,19714,3098,8085,15,9,9,15009,9.16,19.59,38.32
State House District 10 (2022); Hawaii,26510,1609,26389,101218,8732,3955,18281,2248,8938,15,10,10,15010,6.1,21.63,25.15
