NAME,total_population,below_poverty,total_population_poverty,median_income,median_income_moe,bachelors_plus,pop_25_plus,renter_occupied,total_housing_units,state,state legislative district (upper chamber),district,geoid,poverty_rate,bachelors_rate,renter_rate
State Senate District 1 (2022); Hawaii,54780,7393,53000,77898,4165,8039,39068,6516,19155,15,1,1,15001,13.95,20.58,34.02
State Senate District 2 (2022); Hawaii,47987,10367,47881,57919,6270,5148,34517,3884,18135,15,2,2,15002,21.65,14.91,21.42
State Senate District 3 (2022); Hawaii,53726,6796,53060,81101,4363,7939,39605,5463,18872,15,3,3,15003,12.81,20.05,28.95
State Senate District 4 (2022); Hawaii,47191,4701,47027,94159,6801,6962,34598,3762,16796,15,4,4,15004,10.0,20.12,22.4
State Senate District 5 (2022); Hawaii,53752,4257,52605,98140,6169,7523,38249,5314,16701,15,5,5,15005,8.09,19.67,31.82
State Senate District 6 (2022); Hawaii,55786,5072,55573,93770,6352,8499,41096,7340,19859,15,6,6,15006,9.13,20.68,36.96
State Senate District 7 (2022); Hawaii,55137,6653,54854,94216,3745,7715,39616,6791,18947,15,7,7,15007,12.13,19.47,35.84
State Senate District 8 (2022); Hawaii,73610,6414,72848,93612,4932,11014,53076,7677,23465,15,8,8,15008,8.8,20.75,32.72
State Senate District 9 (2022); Hawaii,52594,2863,52125,145460,8186,13387,40380,4509,18907,15,9,9,15009,5.49,33.15,23.85
State Senate District 10 (2022); Hawaii,53652,5809,53040,84238,4352,11128,41754,11137,21945,15,10,10,15010,10.95,26.65,50.75
